Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,4.450000,4.460000,4.420000,4.440000,4.440000,276400
2020-07-01,4.430000,4.430000,4.390000,4.410000,4.410000,225600
2020-07-02,4.450000,4.500000,4.430000,4.440000,4.440000,156400
2020-07-06,4.540000,4.550000,4.510000,4.550000,4.550000,198400
2020-07-07,4.530000,4.540000,4.500000,4.510000,4.510000,123600
2020-07-08,4.540000,4.600000,4.540000,4.590000,4.590000,120900
2020-07-09,4.620000,4.640000,4.550000,4.590000,4.590000,114700
2020-07-10,4.560000,4.560000,4.490000,4.550000,4.550000,112300
2020-07-13,4.570000,4.580000,4.510000,4.520000,4.520000,128100
2020-07-14,4.590000,4.630000,4.570000,4.630000,4.630000,125200
2020-07-15,4.630000,4.630000,4.580000,4.580000,4.580000,153700
2020-07-16,4.540000,4.550000,4.530000,4.550000,4.550000,98900
2020-07-17,4.560000,4.580000,4.560000,4.560000,4.560000,111500
2020-07-20,4.600000,4.630000,4.590000,4.630000,4.630000,82300
2020-07-21,4.600000,4.600000,4.570000,4.580000,4.580000,203800
2020-07-22,4.570000,4.600000,4.560000,4.600000,4.600000,89500
2020-07-23,4.590000,4.600000,4.540000,4.570000,4.570000,122900
2020-07-24,4.540000,4.570000,4.500000,4.550000,4.550000,138600
2020-07-27,4.570000,4.580000,4.530000,4.560000,4.560000,116500
2020-07-28,4.520000,4.560000,4.510000,4.540000,4.540000,252500
2020-07-29,4.790000,5.080000,4.750000,4.990000,4.990000,344500
2020-07-30,4.720000,4.750000,4.680000,4.750000,4.750000,199300
2020-07-31,4.710000,4.710000,4.670000,4.690000,4.690000,186000
2020-08-03,4.780000,4.820000,4.720000,4.810000,4.810000,163300
2020-08-04,4.810000,4.870000,4.810000,4.860000,4.860000,106200
2020-08-05,4.890000,4.930000,4.870000,4.910000,4.910000,143600
2020-08-06,4.910000,4.950000,4.900000,4.940000,4.940000,218200
2020-08-07,4.910000,4.930000,4.870000,4.920000,4.920000,108200
2020-08-10,4.910000,4.950000,4.890000,4.950000,4.950000,91500
2020-08-11,5.070000,5.190000,5.060000,5.110000,5.110000,670600
2020-08-12,5.130000,5.150000,5.110000,5.110000,5.110000,320500
2020-08-13,5.060000,5.090000,5.040000,5.060000,5.060000,185900
2020-08-14,5.040000,5.070000,5.030000,5.040000,5.040000,53100
2020-08-17,5.090000,5.090000,5.060000,5.070000,5.070000,121600
2020-08-18,5.090000,5.090000,5.050000,5.070000,5.070000,112700
2020-08-19,5.100000,5.160000,5.100000,5.120000,5.120000,159100
2020-08-20,5.060000,5.090000,5.050000,5.090000,5.090000,95600
2020-08-21,5.070000,5.090000,5.060000,5.070000,5.070000,91500
2020-08-24,5.140000,5.160000,5.120000,5.150000,5.150000,219500
2020-08-25,5.150000,5.150000,5.120000,5.130000,5.130000,84700
2020-08-26,5.130000,5.190000,5.130000,5.170000,5.170000,85500
2020-08-27,5.160000,5.160000,5.110000,5.130000,5.130000,78200
2020-08-28,5.150000,5.170000,5.130000,5.160000,5.160000,118000
2020-08-31,5.160000,5.170000,5.130000,5.160000,5.160000,76700
2020-09-01,5.160000,5.180000,5.140000,5.170000,5.170000,87200
2020-09-02,5.160000,5.180000,5.120000,5.170000,5.170000,133000
2020-09-03,5.150000,5.160000,5.060000,5.090000,5.090000,100300
2020-09-04,5.140000,5.180000,5.080000,5.150000,5.150000,195100
2020-09-08,5.060000,5.100000,5.030000,5.040000,5.040000,115400
2020-09-09,5.060000,5.120000,5.060000,5.100000,5.100000,144800
2020-09-10,5.100000,5.120000,5.080000,5.090000,5.090000,86800
2020-09-11,5.110000,5.130000,5.090000,5.110000,5.110000,108800
2020-09-14,5.090000,5.100000,5.060000,5.060000,5.060000,147700
2020-09-15,5.070000,5.070000,5.030000,5.040000,5.040000,100400
2020-09-16,4.980000,5.000000,4.930000,4.940000,4.940000,158300
2020-09-17,4.970000,5.000000,4.960000,4.980000,4.980000,89300
2020-09-18,4.930000,4.930000,4.880000,4.910000,4.910000,110100
2020-09-21,4.790000,4.800000,4.740000,4.800000,4.800000,127300
2020-09-22,4.810000,4.830000,4.760000,4.830000,4.830000,92200
2020-09-23,4.800000,4.820000,4.720000,4.720000,4.720000,187500
2020-09-24,4.700000,4.750000,4.680000,4.740000,4.740000,115200
2020-09-25,4.720000,4.770000,4.690000,4.770000,4.770000,73500
2020-09-28,4.860000,4.890000,4.840000,4.870000,4.870000,98900
2020-09-29,4.800000,4.810000,4.730000,4.730000,4.730000,138300
2020-09-30,4.610000,4.610000,4.560000,4.580000,4.580000,127000
2020-10-01,4.580000,4.600000,4.560000,4.570000,4.570000,255500
2020-10-02,4.520000,4.580000,4.520000,4.560000,4.560000,146900
2020-10-05,4.640000,4.680000,4.630000,4.650000,4.650000,168900
2020-10-06,4.670000,4.670000,4.590000,4.600000,4.600000,189600
2020-10-07,4.670000,4.690000,4.650000,4.690000,4.690000,78700
2020-10-08,4.720000,4.740000,4.690000,4.720000,4.720000,81900
