date,close,open,high,low,volume
07-10-2020,425.299988,419.869995,429.899994,413.850006,43127700
08-10-2020,425.920013,438.440002,439,425.299988,40421100
09-10-2020,434,430.130005,434.589996,426.459991,28925700
12-10-2020,442.299988,442,448.73999,438.579987,38791100
13-10-2020,446.649994,443.350006,448.890015,436.600006,34463700
14-10-2020,461.299988,449.779999,465.899994,447.350006,48045400
15-10-2020,448.880005,450.309998,456.570007,442.5,35672400
16-10-2020,439.670013,454.440002,455.950012,438.850006,32775900
19-10-2020,430.829987,446.23999,447,428.869995,36287800
20-10-2020,421.940002,431.75,431.75,419.049988,31656300
21-10-2020,422.640015,422.700012,432.950012,421.25,32370500
22-10-2020,425.790009,441.920013,445.230011,424.51001,39993200
23-10-2020,420.630005,421.839996,422.890015,407.380005,33717000
26-10-2020,420.279999,411.630005,425.76001,410,28239200
27-10-2020,424.679993,423.76001,430.5,420.100006,22686500
28-10-2020,406.019989,416.480011,418.600006,406,25451400
29-10-2020,410.829987,409.959991,418.059998,406.459991,22655300
30-10-2020,388.040009,406.899994,407.589996,379.109985,42511300
02-11-2020,400.51001,394,406.980011,392.299988,29021100
03-11-2020,423.899994,409.730011,427.769989,406.690002,34351700
04-11-2020,420.980011,430.619995,435.399994,417.100006,32143100
05-11-2020,438.089996,428.299988,440,424,28414500
06-11-2020,429.950012,436.100006,436.570007,424.279999,21706000
09-11-2020,421.26001,439.5,452.5,421,34833000
10-11-2020,410.359985,420.089996,420.089996,396.029999,30284200
11-11-2020,417.130005,416.450012,418.700012,410.579987,17357700
12-11-2020,411.76001,415.049988,423,409.519989,19855100
13-11-2020,408.5,410.850006,412.529999,401.660004,19771100
16-11-2020,408.089996,408.929993,412.450012,404.089996,26838600
17-11-2020,441.609985,460.170013,462,433.01001,61188300
18-11-2020,486.640015,448.350006,496,443.5,78044000
19-11-2020,499.269989,492,508.609985,487.570007,62475300
20-11-2020,489.609985,497.98999,502.5,489.059998,32911900
23-11-2020,521.849976,503.5,526,501.790009,50260300
24-11-2020,555.380005,540.400024,559.98999,526.200012,53648500
25-11-2020,574,550.059998,574,545.369995,48930200
27-11-2020,585.76001,581.159973,598.780029,578.450012,37561100
30-11-2020,567.599976,602.210022,607.799988,554.51001,63003100
01-12-2020,584.76001,597.590027,597.849976,572.049988,40382800
